id;tirage_type;date_in_string;premier_lot;deuxieme_lot;troisieme_lot;pic_3;win_4;date_transaction
1;SOIR;Markets Small;internet solid;convergence Account;digital;input;connecting Sausages;2023-03-02T22:09:30
2;MIDI;Metal;Carolina initiatives connecting;Executive;synthesize;Creative maximize;Cuba Creative Cloned;2023-03-03T20:51:50
3;MIDI;Grenada International Frozen;Sleek solution Path;Fantastic;Principal RSS COM;architectures transmitter;Frozen;2023-03-03T19:08:02
4;SOIR;web partnerships;Market;Louisiana;e-enable;Chief;Mayen;2023-03-03T08:18:48
5;MATIN;connecting Intranet Paradigm;deposit;Account Chair innovative;microchip paradigms;Garden Fantastic;Function-based Investment;2023-03-03T16:11:19
6;MATIN;next-generation Music;Buckinghamshire;Switchable incremental invoice;Tools;North matrix;Markets;2023-03-03T02:29:16
7;MIDI;backing synthesize pixel;Money;deposit;invoice quantifying;Virginia application;deliverables Lead;2023-03-03T07:19:49
8;MATIN;connecting;Interface SQL;California Keyboard;blue Massachusetts calculating;panel Generic Lithuania;Awesome convergence Operations;2023-03-03T06:32:10
9;MIDI;web-readiness magnetic Developer;Japan;deposit;copying Kids black;invoice e-tailers;Car;2023-03-03T15:04:02
10;APRESMIDI;architectures Money Course;SSL AGP;mission-critical program Stand-alone;Officer disintermediate Towels;Court matrix neural;parsing;2023-03-03T16:59:35
