id;token;start_date;expirate_date;statut
1;Russian violet;2023-03-02T23:24:32;2023-03-03T00:22:33;Expired
2;ivory;2023-03-03T06:10:00;2023-03-03T10:30:24;Expired
3;Developer;2023-03-03T08:58:15;2023-03-03T17:57:30;Active
4;Global quantify;2023-03-03T18:05:09;2023-03-03T18:28:34;Active
5;Dollar Orchestrator SMTP;2023-03-03T17:11:06;2023-03-03T14:51:43;Active
6;Practical Liberia Bedfordshire;2023-03-03T04:08:47;2023-03-03T08:47:17;Expired
7;Rustic Secured architectures;2023-03-03T08:29:26;2023-03-02T22:07:14;Active
8;Account Practical;2023-03-03T10:54:54;2023-03-03T15:01:49;Active
9;state Keyboard;2023-03-02T21:49:18;2023-03-03T14:40:05;Active
10;quantify AI;2023-03-03T15:28:03;2023-03-03T12:09:16;Active
