id;prix;name;type;avantage;request_per_day
1;47761;card Officer Jewelery;Mensuel;Unbranded green;87471
2;35444;Operations synergistic Fantastic;Mensuel;quantify Pennsylvania;53785
3;33319;Alabama matrices;Annuel;Chair;49792
4;47191;Sleek Outdoors;Annuel;COM;91225
5;8299;exploit XSS;Annuel;Buckinghamshire index Islands;80349
6;92523;Division Turnpike;Annuel;Taiwan morph;11935
7;36919;bandwidth;Annuel;HTTP program innovative;63704
8;43535;Right-sized Generic;Annuel;Congolese circuit;12362
9;5731;USB Music;Annuel;Borders Martinique;64301
10;54761;evolve International;Annuel;Incredible;34220
